id_unico,estado,cidade,local,endereço,bairro,tipo_de_material,horario_seg_sex,horario_sab_dom,tipo
1,SP,São Paulo,Hirota - Mooca,"Rua Teresina, 319",Vila Bertioga,Cápsulas de café,Não disponível,Não disponível,Empresa privada
2,SP,São Paulo,Super Saudável,"Avenida São Gualter, 931",Alto de Pinheiros,Cápsulas de café,Não disponível,Não disponível,Empresa privada
3,SP,São Paulo,COOP Industrial,"Avenida Industrial, 2001",Campestre,Cápsulas de café,Não disponível,Não disponível,Empresa privada
4,SP,São Paulo,Hirota - Campo Belo,"Rua Vieira de Morais, 263",Campo Belo,Cápsulas de café,Não disponível,Não disponível,Empresa privada
5,SP,São Paulo,Emporium São Paulo - Jurema,"Avenida Jurema, 271",Indianópolis,Cápsulas de café,Não disponível,Não disponível,Empresa privada
6,SP,São Paulo,Hirota - Ipiranga,"Avenida Nazaré, 1299",Ipiranga,Cápsulas de café,Não disponível,Não disponível,Empresa privada
7,SP,São Paulo,Emporium São Paulo - Pedroso Alvarenga,"Rua. R. Pedroso Alvarenga, 803",Itaim Bibi,Cápsulas de café,Não disponível,Não disponível,Empresa privada
8,SP,São Paulo,Hirota - Saúde,"Avenida Jabaquara, 1920",Vila da Saúde,Cápsulas de café,Não disponível,Não disponível,Empresa privada
9,SP,São Paulo,Hirota - Santa Cecília,"Avenida General Olímpio da Silveira, 39",Santa Cecília,Cápsulas de café,Não disponível,Não disponível,Empresa privada
10,SP,São Paulo,Hirota - Vila Monumento,"Rua Gaspar Fernandes, 452",Vila Monumento,Cápsulas de café,Não disponível,Não disponível,Empresa privada
11,SP,São Paulo,Emporium São Paulo - Afonso Braz,"Rua Afonso Braz, 431",Vila Nova Conceição,Cápsulas de café,Não disponível,Não disponível,Empresa privada
12,SP,Ferraz de Vasconcelos,Ecoponto Favela dos Sonhos,"R. São Lucas, 4",Jardim São Lázaro,Coleta seletiva,Não disponível,Não disponível,Empresa privada
13,SP,São Paulo,RUA AUGUSTA,"Rua Augusta, 1.600, Consolação, São Paulo – SP CEP",Consolação,Eletrônicos,Não disponível,Não disponível,Empresa privada
14,SP,São Paulo,SHOPPING ARICANDUVA,"Av. Aricanduva, 5555 - Loja Âncora 1",Jardim Aricanduva,Eletrônicos,Não disponível,Não disponível,Empresa privada
15,SP,São Paulo,SHOPPING BOAVISTA,"Rua Borba Gato, 59 - Lojas L219 e L315",Santo Amaro,Eletrônicos,Não disponível,Não disponível,Empresa privada
16,SP,São Paulo,CENTRAL PLAZA SHOPPING,"Av. Francisco Mesquita N-1000 - Loja Âncora ""C"" - Vila Prudente
- São Paulo - SP",Vila Prudente,Eletrônicos,Não disponível,Não disponível,Empresa privada
17,SP,São Paulo,SHOPPING CAMPO LIMPO,"Estrada do Campo Limpo, 459 - loja âncora A-01",Vila Prel,Eletrônicos,Não disponível,Não disponível,Empresa privada
18,SP,São Paulo,SHOPPING IBIRAPUERA,"Av. Ibirapuera, 3103 - lojas 4 e 5",Indianópolis,Eletrônicos,Não disponível,Não disponível,Empresa privada
19,SP,São Paulo,SHOPPING INTERLAGOS,"Av. Interlagos, 2255 - Loja ""Arco A""",Campo Grande,Eletrônicos,Não disponível,Não disponível,Empresa privada
20,SP,São Paulo,SHOPPING JARDIM SUL,"Avenida Giovanni Gronchi, 5819 - LUC 001",Vila Andrade,Eletrônicos,Não disponível,Não disponível,Empresa privada
21,SP,São Paulo,SHOPPING MORUMBI,"Av. Roque Petroni Júnior, 1089 - loja 1",Vila São Francisco,Eletrônicos,Não disponível,Não disponível,Empresa privada
22,SP,São Paulo,SHOPPING PENHA,"Rua Doutor João Ribeiro, 304 Lojas Âncoras C e F",Penha de França,Eletrônicos,Não disponível,Não disponível,Empresa privada
23,SP,São Paulo,RAPOSO SHOPPNG,"Rodovia Raposo Tavares, s/nº , Km 14,5 - lojas 3001 e 3002",Jardim Olympia,Eletrônicos,Não disponível,Não disponível,Empresa privada
24,SP,São Paulo,SANTANA PARQUE SHOPPING,"Rua Conselheiro Moreira de Barros, 2780, loja 2011 - 2º
pavimento",Mandaqui,Eletrônicos,Não disponível,Não disponível,Empresa privada
25,SP,São Paulo,BOURBON SHOPPING POMPÉIA,"Rua Turiassu, 2.100, loja 117, 2º piso",Perdizes,Eletrônicos,Não disponível,Não disponível,Empresa privada
26,SP,São Paulo,SHOPPING CENTER NORTE,"Travessa Casalbuono, 120 - loja 610",Vila Guilherme,Eletrônicos,Não disponível,Não disponível,Empresa privada
27,SP,São Paulo,CANTAREIRA NORTE SHOPPING,"Endereço: Avenida Raimundo Pereira de Magalhães, 11.001 –
loja 1002/2002",Jardim Pirituba,Eletrônicos,Não disponível,Não disponível,Empresa privada
28,SP,São Paulo,SHOPPING ITAQUERA,"Avenida José Pinheiro Borges, s/nº - lojas 101/201, Gleba I",Itaquera,Eletrônicos,Não disponível,Não disponível,Empresa privada
29,SP,São Paulo,SHOPPING MÓOCA,"Rua Capitão Pacheco e Chaves, 313 – loja 2049",Vila Prudente,Eletrônicos,Não disponível,Não disponível,Empresa privada
30,SP,São Paulo,CENTRO - SÃO PAULO,"Rua 24 de Maio, 70",Centro,Eletrônicos,Não disponível,Não disponível,Empresa privada
31,SP,São Paulo,SHOPPING D,"Avenida Cruzeiro do Sul, 1.100, SUC 2000, 2º piso",Canindé,Eletrônicos,Não disponível,Não disponível,Empresa privada
32,SP,São Paulo,SHOPPING ELDORADO,"Avenida Rebouças, 3970, lojas 231 a 234, 236A, 239, 246 e 279,
1º Piso",Pinheiros,Eletrônicos,Não disponível,Não disponível,Empresa privada
33,SP,São Paulo,SHOPPING SP MARKET,"Avenida das Nações Unidas, 22.540, loja A7 - 17/18/19, Bloco C",Vila Almeida,Eletrônicos,Não disponível,Não disponível,Empresa privada
34,SP,São Paulo,SHOPPING PLAZA SUL,"Pça. Leonor Kaupa, 100 - lojas 119 e 225",Jardim da Saúde,Eletrônicos,Não disponível,Não disponível,Empresa privada
35,SP,São Paulo,SHOPPING TIETÊ PLAZA,"Avenida Raimundo Pereira de Magalhães, 1465 – loja âncora
1000",Jardim Íris,Eletrônicos,Não disponível,Não disponível,Empresa privada
36,SP,São Paulo,SHOPPING WEST PLAZA,"Pça. Tomas Morus, 408 - Bloco B - Térreo - lj.201",Água Branca,Eletrônicos,Não disponível,Não disponível,Empresa privada
37,SP,Santo André,SHOPPING ABC,"Av. Pereira Barreto, 42 - Loja Âncora 3",Vila Gilda,Eletrônicos,Não disponível,Não disponível,Empresa privada
38,SP,Diadema,SHOPPING PRAÇA DA MOÇA,"Rua Manoel da Nóbrega, 712 - lojas 241 e 301",Centro,Eletrônicos,Não disponível,Não disponível,Empresa privada
39,SP,Mauá,MAUÁ PLAZA SHOPPING,"Av. Governador Mário Covas Júnior, 01 - loja 151",Jd. Rosina,Eletrônicos,Não disponível,Não disponível,Empresa privada
40,SP,Jardim Santo André,SHOPPING ABC PLAZA,"Av. Industrial, 600 - Espaço Comercial 223, 224 e 228",Jardim Santo André,Eletrônicos,Não disponível,Não disponível,Empresa privada
41,SP,S.B. do Campo,"CENTRO - SÃO BERNARDO DO
CAMPO","Rua: Marechal Deodoro, 1078",Centro,Eletrônicos,Não disponível,Não disponível,Empresa privada
42,SP,S.B. do Campo,SHOPPING METRÓPOLE,"Praça Samuel Sabatini, 200, loja LSU-4",Centro,Eletrônicos,Não disponível,Não disponível,Empresa privada
43,SP,São Bernardo,SHOPPING S.B. PLAZA,"Avenida Albert Schweitzer, 256 – loja 1046",Ferrazópolis,Eletrônicos,Não disponível,Não disponível,Empresa privada
44,SP,São Caetano do Sul,SÃO CAETANO DO SUL,"Alameda Terracota, 545, loja 1007/2007",Cerâmica,Eletrônicos,Não disponível,Não disponível,Empresa privada
